Extremophile,Resistance_Type,Gene,Product,EC_Number,Locus_ID
Acidithiobacillus,Radiation resistance,dnaN,DNA polymerase III subunit beta,2.7.7.7,NC_011761.1
Acidithiobacillus,Radiation resistance,recF,DNA replication and repair protein RecF,,NC_011761.1
Acidithiobacillus,Heat resistance,papD,Chaperone protein PapD precursor,,NC_011761.1
Acidithiobacillus,Oxidative stress,,Ferredoxin 1,,NC_011761.1
Acidithiobacillus,Radiation resistance,resA,Thiol-disulfide oxidoreductase ResA,,NC_011761.1
Acidithiobacillus,Salt tolerance,mntH_1,Divalent metal cation transporter MntH,,NC_011761.1
Acidithiobacillus,Radiation resistance,,putative FAD-linked oxidoreductase,1.-.-.-,NC_011761.1
Acidithiobacillus,Radiation resistance,egtB,Iron(II)-dependent oxidoreductase EgtB,1.8.-.-,NC_011761.1
Acidithiobacillus,Oxidative stress,garB,Glutathione amide reductase,1.8.1.16,NC_011761.1
Acidithiobacillus,Oxidative stress,,Hybrid peroxiredoxin hyPrx5,1.11.1.15,NC_011761.1
Acidithiobacillus,Oxidative stress,gloB,Hydroxyacylglutathione hydrolase,3.1.2.6,NC_011761.1
Acidithiobacillus,Radiation resistance,dnaQ,DNA polymerase III subunit epsilon,2.7.7.7,NC_011761.1
Acidithiobacillus,Oxidative stress,gloA,Lactoylglutathione lyase,4.4.1.5,NC_011761.1
Acidithiobacillus,Radiation resistance,recN,DNA repair protein RecN,,NC_011761.1
Acidithiobacillus,Radiation resistance,holA,DNA polymerase III subunit delta,2.7.7.7,NC_011761.1
Acidithiobacillus,Radiation resistance,ydbC,Putative oxidoreductase YdbC,1.-.-.-,NC_011761.1
Acidithiobacillus,Heat resistance,yajL,Chaperone protein YajL,,NC_011761.1
Acidithiobacillus,Cold resistance,cspE,Cold shock-like protein CspE,,NC_011761.1
Acidithiobacillus,Heat resistance,hchA,Molecular chaperone Hsp31 and glyoxalase 3,4.2.1.130,NC_011761.1
Acidithiobacillus,Radiation resistance,trxA_1,Thioredoxin-1,,NC_011761.1
Acidithiobacillus,Heat resistance,hscA,Chaperone protein HscA,,NC_011761.1
Acidithiobacillus,Oxidative stress,fdx_1,2Fe-2S ferredoxin,,NC_011761.1
Acidithiobacillus,Oxidative stress,gfa,Glutathione-dependent formaldehyde-activating enzyme,4.4.1.22,NC_011761.1
Acidithiobacillus,Oxidative stress,flhA,S-(hydroxymethyl)glutathione dehydrogenase,1.1.1.284,NC_011761.1
Acidithiobacillus,Oxidative stress,fghA,S-formylglutathione hydrolase,3.1.2.12,NC_011761.1
Acidithiobacillus,General stress response,,Putative universal stress protein,,NC_011761.1
Acidithiobacillus,Radiation resistance,uvrB,UvrABC system protein B,,NC_011761.1
Acidithiobacillus,Radiation resistance,uvrC,UvrABC system protein C,,NC_011761.1
Acidithiobacillus,Oxidative stress,alkT,Rubredoxin-NAD(+) reductase,1.18.1.1,NC_011761.1
Acidithiobacillus,Salt tolerance,mntH_2,Divalent metal cation transporter MntH,,NC_011761.1
Acidithiobacillus,Radiation resistance,recA,Protein RecA,,NC_011761.1
Acidithiobacillus,Oxidative stress,,Ferredoxin 1,,NC_011761.1
Acidithiobacillus,Oxidative stress,tsaA,putative peroxiredoxin,1.11.1.15,NC_011761.1
Acidithiobacillus,Radiation resistance,recO,DNA repair protein RecO,,NC_011761.1
Acidithiobacillus,Radiation resistance,yceM,Putative oxidoreductase YceM,1.-.-.-,NC_011761.1
Acidithiobacillus,Radiation resistance,dnaE,DNA polymerase III subunit alpha,2.7.7.7,NC_011761.1
Acidithiobacillus,Oxidative stress,bcp,Putative peroxiredoxin bcp,1.11.1.15,NC_011761.1
Acidithiobacillus,Oxidative stress,gstB_1,Glutathione S-transferase GST-6.0,2.5.1.18,NC_011761.1
Acidithiobacillus,Radiation resistance,,Electron transfer flavoprotein-ubiquinone oxidoreductase,1.5.5.1,NC_011761.1
Acidithiobacillus,Oxidative stress,fdxB,Ferredoxin-3,,NC_011761.1
Acidithiobacillus,Oxidative stress,fer1,Ferredoxin-1,,NC_011761.1
Acidithiobacillus,Oxidative stress,fdx_2,2Fe-2S ferredoxin,,NC_011761.1
Acidithiobacillus,Heat resistance,hspA,Spore protein SP21,,NC_011761.1
Acidithiobacillus,Radiation resistance,nuoL_1,NADH-quinone oxidoreductase subunit L,1.6.99.5,NC_011761.1
Acidithiobacillus,Radiation resistance,,putative FAD-linked oxidoreductase,1.-.-.-,NC_011761.1
Acidithiobacillus,Radiation resistance,,putative FAD-linked oxidoreductase,1.-.-.-,NC_011761.1
Acidithiobacillus,Radiation resistance,dinB_1,DNA polymerase IV,2.7.7.7,NC_011761.1
Acidithiobacillus,Radiation resistance,,putative FAD-linked oxidoreductase,1.-.-.-,NC_011761.1
Acidithiobacillus,Radiation resistance,acoA_1,Acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit alpha,1.1.1.-,NC_011761.1
Acidithiobacillus,Oxidative stress,,Ferredoxin 1,,NC_011761.1
Acidithiobacillus,Heat resistance,copZ,Copper chaperone CopZ,,NC_011761.1
Acidithiobacillus,Radiation resistance,dnaE2,Error-prone DNA polymerase,2.7.7.7,NC_011761.1
Acidithiobacillus,Radiation resistance,sodB,Superoxide dismutase [Fe],1.15.1.1,NC_011761.1
Acidithiobacillus,Radiation resistance,holB,DNA polymerase III subunit delta',2.7.7.7,NC_011761.1
Acidithiobacillus,Radiation resistance,dnaX,DNA polymerase III subunit tau,2.7.7.7,NC_011761.1
Acidithiobacillus,Oxidative stress,fdx_3,Ferredoxin,,NC_011761.1
